Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri,
FALMOUTHRETIREMENTMA.GOV,City,Non-Federal Agency,Falmouth Retirement System,Falmouth,MA,retire@falmouthretirementma.gov,null,,,,,,,,,,,
FARGO-ND.GOV,City,Non-Federal Agency,City of Fargo,Fargo,ND,security@FargoND.GOV,null,,,,,,,,,,,
FARGOND.GOV,City,Non-Federal Agency,City of Fargo,Fargo,ND,security@fargond.gov,DMARC1,quarantine,none,100,r,r,0,mailto:is-networkservices@fargond.gov,mailto:is-networkservices@fargond.gov,afrf,86400,
FARMERSBRANCHTX.GOV,City,Non-Federal Agency,City of Farmers Branch,Farmers Branch,TX,helpdesk@farmersbranchtx.gov,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
FARMINGTON-MO.GOV,City,Non-Federal Agency,City of Farmington,Farmington,MO,(blank),DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
FARMINGTONLAXWI.GOV,City,Non-Federal Agency,Town of Farmington,Mindoro,WI,level2@mcsnetworks.com,null,,,,,,,,,,,
FARMINGTONMN.GOV,City,Non-Federal Agency,City of Farmington,Farmington,MN,itstaff@farmingtonmn.gov,DMARC1,quarantine,quarantine,100,r,r,0:1:d:s,mailto:abuse@farmingtonmn.gov,none,afrf,86400,
FARMVILLENC.GOV,City,Non-Federal Agency,Town of Farmville,Farmville,NC,(blank),null,,,,,,,,,,,
FARMVILLEVA.GOV,City,Non-Federal Agency,"""Town of Farmville","Virginia""",Farmville,VA,null,,,,,,,,,,,
FATETX.GOV,City,Non-Federal Agency,City of Fate,Fate,TX,(blank),DMARC1,none,reject,100,r,r,0,mailto:dmarc@cityoffate.com,mailto:dmarc@cityoffate.com,afrf,86400,
FAYETTEMOPD.GOV,City,Non-Federal Agency,"""City of Fayette"," MO""",Fayette,MO,null,,,,,,,,,,,
FAYETTEVILLE-AR.GOV,City,Non-Federal Agency,City of Fayetteville,Fayetteville,AR,bfulmer@fayetteville-ar.gov,null,,,,,,,,,,,
FAYETTEVILLE-GA.GOV,City,Non-Federal Agency,City of Fayetteville,Fayetteville,GA,(blank),null,,,,,,,,,,,
FAYETTEVILLENC.GOV,City,Non-Federal Agency,"""City of Fayetteville"," North Carolina""",Fayetteville,NC,null,,,,,,,,,,,
FAYETTEVILLENY.GOV,City,Non-Federal Agency,Village of Fayetteville,Fayetteville,NY,(blank),null,,,,,,,,,,,
FAYETTEVILLEWV.GOV,City,Non-Federal Agency,TOWN OF FAYETTEVILLE,FAYETTEVILLE,WV,(blank),null,,,,,,,,,,,
FEDERALWAYWA.GOV,City,Non-Federal Agency,City of Federal Way,Federal Way ,WA,Thomas.Fichtner@cityoffederalway.com,null,,,,,,,,,,,
FENNVILLE.GOV,City,Non-Federal Agency,City of Fennville,Fennville,MI,kbeemer@fennville.com,null,,,,,,,,,,,
FENWICKISLAND-DE.GOV,City,Non-Federal Agency,Town of Fenwick,Fenwick Island,DE,awagamon@wtgllc.net,null,,,,,,,,,,,
FERGUSFALLSMN.GOV,City,Non-Federal Agency,City of Fergus Falls,Fergus Falls,MN,is@ci.fergus-falls.mn.us,null,,,,,,,,,,,
FERNDALEMI.GOV,City,Non-Federal Agency,City of Ferndale,Ferndale,MI,orders@macroconnect.net,null,,,,,,,,,,,
FERRISTEXAS.GOV,City,Non-Federal Agency,City of Ferris,Ferris,TX,support@ferristexas.gov,null,,,,,,,,,,,
FESTUSMO.GOV,City,Non-Federal Agency,City of Festus,Festus,MO,soc@fwslash.com,null,,,,,,,,,,,
FILERTWPMI.GOV,City,Non-Federal Agency,Filer Township,Manistee,MI,kps@shumakergroup.com,null,,,,,,,,,,,
FILLMORECA.GOV,City,Non-Federal Agency,City of Fillmore,Fillmore,CA,it.backup@ci.fillmore.ca.us,null,,,,,,,,,,,
FINDLAYOHIO.GOV,City,Non-Federal Agency,City of Findlay,Findlay,OH,comp-serv@findlayohio.com,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:dmarcreports@findlayohio.gov,afrf,86400,
FIRESTONECO.GOV,City,Non-Federal Agency,Town of Firestone,Firestone,CO,(blank),null,,,,,,,,,,,
FIRTHIDAHO.GOV,City,Non-Federal Agency,"""City of Firth"," Idaho""",Firth,ID,null,,,,,,,,,,,
FISHERSIN.GOV,City,Non-Federal Agency,City of Fishers,Fishers,IN,securityalerts@fishers.in.us,null,,,,,,,,,,,
FISHKILL-NY.GOV,City,Non-Federal Agency,Town of Fishkill,Fishkill,NY,dcolonna@fishkill-ny.gov,null,,,,,,,,,,,
FITCHBURGMA.GOV,City,Non-Federal Agency,City of Fitchburg,Fitchburg,MA,tbonilla@fitchburgma.gov,null,,,,,,,,,,,
FITCHBURGWI.GOV,City,Non-Federal Agency,City of Fitchburg,Fitchburg,WI,(blank),null,,,,,,,,,,,
FITZWILLIAM-NH.GOV,City,Non-Federal Agency,City of Fitzwilliam,Fitzwilliam,NH,(blank),null,,,,,,,,,,,
FLAGSTAFFAZ.GOV,City,Non-Federal Agency,City of Flagstaff,Flagstaff,AZ,mkakert@flagstaffaz.gov,null,,,,,,,,,,,
FLATONIATX.GOV,City,Non-Federal Agency,City of Flatonia,Flatonia,TX,manager@ci.flatonia.tx.us,null,,,,,,,,,,,
FLATWOODSKY.GOV,City,Non-Federal Agency,City of Flatwoods Kentucky,Flatwoods,KY,bhurley@flatwoodsky.org,DMARC1,quarantine,quarantine,85,r,r,1,"mailto:bhurley@greenupcountyky.gov,mailto:1da65b57@forensics.dmarc-report.com","mailto:bhurley@greenupcountyky.gov,mailto:1da65b57@mxtoolbox.dmarc-report.com",afrf,86400,
FLORENCE-KY.GOV,City,Non-Federal Agency,City of Florence Kentucky,Florence,KY,linda.chapman@florence-ky.gov,null,,,,,,,,,,,
FLORENCE-NJ.GOV,City,Non-Federal Agency,Township of Florence,Florence,NJ,(blank),null,,,,,,,,,,,
FLORENCEAZ.GOV,City,Non-Federal Agency,Town of Florence,Florence,AZ,(blank),null,,,,,,,,,,,
FLORENCEUTILITIESWI.GOV,City,Non-Federal Agency,Florence Utilities,Florence,WI,brippey@tecksolutions.net,null,,,,,,,,,,,
FLORENCEWI.GOV,City,Non-Federal Agency,Town of Florence,Florence,WI,brippey@tecksolutions.net,null,,,,,,,,,,,
FLORESVILLEEDCTX.GOV,City,Non-Federal Agency,Floresville Economic Development Corporation,Floresville,TX,rswenson@mation.com,DMARC1,reject,reject,100,r,r,1,mailto:dmarc@floresvilleedctx.gov,"mailto:6e30577539@rua.easydmarc.us,mailto:re+g1gm3gh8ykg@dmarc.postmarkapp.com,mailto:dmarc@floresvilleedctx.gov",afrf,86400,
FLORESVILLETX.GOV,City,Non-Federal Agency,City of Floresville,Floresville,TX,domains@drewadesigns.com,DMARC1,reject,reject,100,r,r,1,mailto:dmarc@drewadesigns.com,"mailto:6e30577539@rua.easydmarc.us,mailto:re+naac3xngddo@dmarc.postmarkapp.com,mailto:dmarc@drewadesigns.com",afrf,86400,
FLORIDACITYFL.GOV,City,Non-Federal Agency,Florida City,Florida City,FL,(blank),null,,,,,,,,,,,
FOLLANSBEEWV.GOV,City,Non-Federal Agency,City of Follansbee,Follansbee,WV,jfluther@ridgefieldgroup.com,null,,,,,,,,,,,
FOLLYBEACH.GOV,City,Non-Federal Agency,City of Folly Beach,Folly Beach,SC,service@vc3.com,null,,,,,,,,,,,
FONTANACA.GOV,City,Non-Federal Agency,City of Fontana,Fontana,CA,cbeck@fontana.org,null,,,,,,,,,,,
FOOTVILLEWI.GOV,City,Non-Federal Agency,Village of Footville,Footville,WI,village@footvillewis.net,null,,,,,,,,,,,
FORESTGROVE-OR.GOV,City,Non-Federal Agency,City of Forest Grove,Forest Grove,OR,groberts@forestgrove-or.gov,null,,,,,,,,,,,
FORESTHEIGHTSMD.GOV,City,Non-Federal Agency,Town of Forest Heights,Forest Heights,MD,(blank),null,,,,,,,,,,,
FORESTMSPD.GOV,City,Non-Federal Agency,City of Forest,Forest,MS,(blank),null,,,,,,,,,,,
FORESTPARKGA.GOV,City,Non-Federal Agency,City of Forest Park,Forest Park,GA,jcox@forestparkga.gov,null,,,,,,,,,,,
FORESTPARKOK.GOV,City,Non-Federal Agency,Town of Forest Park,Forest Park,OK,dwest@forestparkok.gov,null,,,,,,,,,,,
FORESTTOWNRCWI.GOV,City,Non-Federal Agency,Town of Forest,MADISON,WI,forest@mwt.net,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:support@townweb.com,afrf,86400,
FORNEYTX.GOV,City,Non-Federal Agency,City of Forney,Forney,TX,itmanagers@forneytx.gov,null,,,,,,,,,,,
FORSYTH-IL.GOV,City,Non-Federal Agency,Village of Forsyth,Forsyth,IL,(blank),null,,,,,,,,,,,
FORSYTHMO.GOV,City,Non-Federal Agency,City of Forsyth,Forsyth,MO,mikecrandall@celipso.com,null,,,,,,,,,,,
FORTATKINSONIA.GOV,City,Non-Federal Agency,City of Fort Atkinson,Fort Atkinson,IA,gbarta33@gmail.com,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:john@forbintech.com,afrf,86400,
FORTATKINSONWI.GOV,City,Non-Federal Agency,City of Fort Atkinson,City of Fort Atkinson,WI,miebbert@fortatkinsonwi.net,null,,,,,,,,,,,
FORTCOLLINS-CO.GOV,City,Non-Federal Agency,City of Fort Collins,Fort Collins,CO,SysAdmins@fcgov.com,DMARC1,error,error,100,r,r,0,none,none,afrf,86400,
FORTDEPOSITAL.GOV,City,Non-Federal Agency,Fort Deposit,Fort Deposit,AL,rodney@ram-computers.net,null,,,,,,,,,,,
FORTLUPTONCO.GOV,City,Non-Federal Agency,City of Fort Lupton,Fort Lupton,CO,(blank),DMARC1,quarantine,quarantine,100,r,r,0,mailto:reporting@fortluptonco.gov,mailto:reporting@fortluptonco.gov,afrf,86400,
FORTMILLSC.GOV,City,Non-Federal Agency,Town of Fort Mill,Fort Mill,SC,jthomton@fortmillsc.gov,null,,,,,,,,,,,
FORTMYERSBEACHFL.GOV,City,Non-Federal Agency,Town of Fort Myers Beach,Fort Myers Beach,FL,(blank),DMARC1,none,none,100,r,r,0,mailto:DMARC@fortmyersbeachfl.gov,none,afrf,86400,
FORTOGLETHORPEGA.GOV,City,Non-Federal Agency,Fort Oglethorpe City Government,Fort Oglethorpe,GA,gpatton@fortoglethorpega.gov,null,,,,,,,,,,,
FORTSMITHAR.GOV,City,Non-Federal Agency,City of Fort Smith,Fort Smith,AR,Justin.Rosa@fortsmithar.gov,DMARC1,quarantine,none,100,r,r,0,mailto:dmarcrecords@fortsmithar.gov,mailto:dmarcrecords@fortsmithar.gov,afrf,86400,
FORTWINN.GOV,City,Non-Federal Agency,Town of Fort Winnebago,Portage,WI,fortwinnebagotownclerk@gmail.com,null,,,,,,,,,,,
FORTWORTH-TEXAS.GOV,City,Non-Federal Agency,City of Fortworth,Fort Worth,TX,(blank),null,,,,,,,,,,,
FORTWORTH-TX.GOV,City,Non-Federal Agency,City of Fortworth,Fort Worth,TX,(blank),null,,,,,,,,,,,
FORTWORTHTEXAS.GOV,City,Non-Federal Agency,City of Fortworth ,Fort Worth,TX,(blank),DMARC1,none,none,100,r,r,1,mailto:RUF_Dmarc@fortworthtexas.gov,mailto:RUA_Dmarc@fortworthtexas.gov,afrf,86400,
FORTWORTHTEXASALERTS.GOV,City,Non-Federal Agency,City of Fort Worth,Fort Worth,TX,(blank),null,,,,,,,,,,,
FOSTORIAOHIO.GOV,City,Non-Federal Agency,City of Fostoria,Fostoria,OH,(blank),null,,,,,,,,,,,
FOUNTAINCO.GOV,City,Non-Federal Agency,City of Fountain,Fountain,CO,abuse@fountaincolorado.org,null,,,,,,,,,,,
FOUNTAINHILLSAZ.GOV,City,Non-Federal Agency,Town of Fountain Hills,Fountain Hills,AZ,abuse@fountainhillsaz.gov,DMARC1,reject,reject,100,s,s,1,mailto:ruf+fountainhillsaz.gov@dmarc.barracudanetworks.com,mailto:rua+fountainhillsaz.gov@dmarc.barracudanetworks.com,afrf,86400,
FOUNTAINVALLEY.GOV,City,Non-Federal Agency,Fountain Valley,Fountain Valley,CA,ITSupport@fountainvalley.org,null,,,,,,,,,,,
FOXBOROUGHMA.GOV,City,Non-Federal Agency,Town of Foxborough,Foxborough,MA,goncalvesd@foxborough.k12.ma.us,null,,,,,,,,,,,
FOXCROSSINGWI.GOV,City,Non-Federal Agency,Village of Fox Crossing,Neenah,WI,is@foxcrossingwi.gov,null,,,,,,,,,,,
FOXPOINTWI.GOV,City,Non-Federal Agency,Village of Fox Point,Fox Point,WI,jtaylor07target@tcsinc.biz,null,,,,,,,,,,,
FRAMINGHAMMA.GOV,City,Non-Federal Agency,Town of Framingham,Framingham,MA,security@framinghamma.gov,null,,,,,,,,,,,
FRAMINGHAMPD.GOV,City,Non-Federal Agency,Framingham Police ,Framingham,MA,security@framinghamma.gov,null,,,,,,,,,,,
FRANKFORT-IN.GOV,City,Non-Federal Agency,City of Frankfort,Frankfort,IN,(blank),DMARC1,quarantine,quarantine,100,r,r,1,mailto:dmarc_receiver@accs.net,mailto:dmarc_receiver@accs.net,afrf,86400,
FRANKLIN-NJ.GOV,City,Non-Federal Agency,Township of Franklin,Someret,NJ,Robert.McQueen@franklinnj.gov,null,,,,,,,,,,,
FRANKLIN-TN.GOV,City,Non-Federal Agency,City of Franklin,Franklin,TN,(blank),null,,,,,,,,,,,
FRANKLIN-TOWNSHIPOHIO.GOV,City,Non-Federal Agency,Franklin Township Board of Trustees,Columbus,OH,revon@revolutiongroup.com,null,,,,,,,,,,,
FRANKLINDELCO-NY.GOV,City,Non-Federal Agency,Town of Franklin - DelCo,Franklin,NY,(blank),null,,,,,,,,,,,
FRANKLINGA.GOV,City,Non-Federal Agency,City of Franklin,Franklin,GA,khayes@franklinga.gov,null,,,,,,,,,,,
FRANKLINMA.GOV,City,Non-Federal Agency,"""Town of Franklin."," MA""",Franklin,MA,null,,,,,,,,,,,
FRANKLINNJ.GOV,City,Non-Federal Agency,Township of Franklin,Somerset,NJ,Robert.McQueen@franklinnj.gov,DMARC1,none,none,100,r,r,1,mailto:techs@franklinnj.gov,mailto:techs@franklinnj.gov,afrf,86400,
FRANKLINPA.GOV,City,Non-Federal Agency,City of Franklin,Franklin,PA,(blank),null,,,,,,,,,,,
FRANKLINTN.GOV,City,Non-Federal Agency,CIty of Franklin,Franklin,TN,(blank),DMARC1,reject,reject,100,r,r,0,none,mailto:dmarc_agg@vali.email,afrf,86400,
FRANKLINTOWNSHIPCARBONPA.GOV,City,Non-Federal Agency,Franklin Township,Lehighton,PA,ftsupers@ptd.net,null,,,,,,,,,,,
FRANKLINVILLAGEMI.GOV,City,Non-Federal Agency,Village of Franklin,Franklin,MI,support@etsnow.net,null,,,,,,,,,,,
FRANKLINWI.GOV,City,Non-Federal Agency,City of Franklin,Franklin,WI,(blank),DMARC1,reject,reject,100,r,r,0,mailto:loeyw7ux@fr.dmarcian.com,mailto:loeyw7ux@ag.dmarcian.com,afrf,86400,
FRANKSTONTX.GOV,City,Non-Federal Agency,City of Frankston,Frankston,TX,dgoodman@frankstontx.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
FRAZEYSBURG.GOV,City,Non-Federal Agency,Village of Frazeysburg,Frazeysburg,OH,web@newperry.net,null,,,,,,,,,,,
FREDERICKCO.GOV,City,Non-Federal Agency,Town of Frederick,Frederick,CO,(blank),null,,,,,,,,,,,
FREDERICKMD.GOV,City,Non-Federal Agency,City of Frederick,Frederick,MD,helpdesk@cityoffrederick.com,null,,,,,,,,,,,
FREDERICKSBURGVA.GOV,City,Non-Federal Agency,City of Fredericksburg,Fredericksburg,VA,kgbane@fredericksburgva.gov,DMARC1,none,none,100,r,r,1,"mailto:dmarcreports@fredericksburgva.gov,mailto:dmarc_ruf@emaildefense.proofpoint.com","mailto:dmarcreports@fredericksburgva.gov,mailto:dmarc_rua@emaildefense.proofpoint.com",afrf,86400,
FREDONIAIOWA.GOV,City,Non-Federal Agency,City of Fredonia,Fredonia,IA,(blank),null,,,,,,,,,,,
FREDONIAWI.GOV,City,Non-Federal Agency,Village of Fredonia,Fredonia,WI,cjenkins@village.fredonia.wi.us,null,,,,,,,,,,,
FREDONNJ.GOV,City,Non-Federal Agency,Township of Fredon,Newton,NJ,(blank),null,,,,,,,,,,,
FREEDOMSAUKWI.GOV,City,Non-Federal Agency,Town of Freedom,Rock Springs,WI,freedom.townof@gmail.com,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:support@townweb.com,afrf,86400,
FREEHOLDBOROUGHNJ.GOV,City,Non-Federal Agency,Borough of Freehold,Freehold,NJ,(blank),null,,,,,,,,,,,
FREEPORTFLORIDA.GOV,City,Non-Federal Agency,City of Freeport,Freeport,FL,(blank),null,,,,,,,,,,,
FREEPORTNY.GOV,City,Non-Federal Agency,Inc. Village of Freeport,Freeport,NY,(blank),null,,,,,,,,,,,
FREEPORTTX.GOV,City,Non-Federal Agency,City of Freeport,Freeport,TX,security@freeport.tx.us,null,,,,,,,,,,,
FREETOWNMA.GOV,City,Non-Federal Agency,Town of Freetown,Assonet,MA,(blank),DMARC1,quarantine,quarantine,10,r,r,0,none,none,afrf,86400,
FREMONT.GOV,City,Non-Federal Agency,City of Fremont,Fremont,CA,helpdesk@fremont.gov,DMARC1,none,none,100,r,r,1,mailto:32amyyyeu0@ruf.powerdmarc.com,mailto:32amyyyeu0@rua.powerdmarc.com,afrf,86400,
FREMONTFIRE.GOV,City,Non-Federal Agency,City of Fremont,Fremont,CA,helpdesk@fremont.gov,null,,,,,,,,,,,
FREMONTHILLS.GOV,City,Non-Federal Agency,City of Fremont Hills,Fremont Hills,MO,(blank),null,,,,,,,,,,,
FREMONTMI.GOV,City,Non-Federal Agency,City of Fremont,Fremont,MI,tblake@cityoffremont.net,null,,,,,,,,,,,
FREMONTNC.GOV,City,Non-Federal Agency,Fremont town,Fremont,NC,(blank),null,,,,,,,,,,,
FREMONTNE.GOV,City,Non-Federal Agency,City of Fremont,Fremont,NE,abuse@fremontne.gov,DMARC1,none,none,100,r,r,0,none,mailto:postmaster@fremontne.gov,afrf,86400,
FREMONTPOLICE.GOV,City,Non-Federal Agency,City of Fremont Police Department,Fremont,CA,dyu@fremont.gov,null,,,,,,,,,,,
FRENCHSETTLEMENT-LA.GOV,City,Non-Federal Agency,French Settlement,French Settlement,LA,(blank),null,,,,,,,,,,,
FRENCHTOWNMI.GOV,City,Non-Federal Agency,Frenchtown Charter Township,Monroe,MI,support@mytechexperts.com,null,,,,,,,,,,,
FRESNO.GOV,City,Non-Federal Agency,City of Fresno,Fresno,CA,abuse@fresno.gov,DMARC1,quarantine,none,100,r,r,0,mailto:cof.fdra@fresno.gov,mailto:cof.adra@fresno.gov,afrf,86400,
FRIDLEYMN.GOV,City,Non-Federal Agency,"""City of Fridley"," MN""",Fridley,MN,null,,,,,,,,,,,
FRIENDSHIPHEIGHTSMD.GOV,City,Non-Federal Agency,Village of Friendship Heights,Chevy Chase,MD,(blank),DMARC1,none,none,100,r,r,0,none,mailto:dmarc-jgoldstein@friendshipheightsmd.gov,afrf,86400,
FRIENDSVILLETN.GOV,City,Non-Federal Agency,City of Friendsville,Friendsville,TN,scardwell@bcso.com,null,,,,,,,,,,,
FRIENDSWOODTX.GOV,City,Non-Federal Agency,City of Friendswood,Friendswood,TX,jobrien@friendswood.com,null,,,,,,,,,,,
FRISCOTEXAS.GOV,City,Non-Federal Agency,City of Frisco,Frisco,TX,ggivens@friscotexas.gov,DMARC1,reject,reject,100,r,r,1,mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_rua@emaildefense.proofpoint.com,afrf,86400,
FRISCOTX.GOV,City,Non-Federal Agency,City of Frisco,Frisco,TX,ggivens@friscotexas.gov,null,,,,,,,,,,,
FRONTROYALVA.GOV,City,Non-Federal Agency,"""Town of Front Royal"," Virginia""",Front Royal,VA,null,,,,,,,,,,,
FRUITLANDMI.GOV,City,Non-Federal Agency,Fruitland Township,Whitehall,MI,support@itright.com,null,,,,,,,,,,,
FRUITPORTTOWNSHIP-MI.GOV,City,Non-Federal Agency,Fruitport Charter Township,Fruitport,MI,(blank),null,,,,,,,,,,,
FULLERTONNE.GOV,City,Non-Federal Agency,City of Fullerton,Fullerton,NE,allenc@fullertonne.gov,null,,,,,,,,,,,
FULSHEARTEXAS.GOV,City,Non-Federal Agency,City of Fulshear,Fulshear,TX,(blank),DMARC1,reject,reject,100,r,r,0,none,none,afrf,86400,
FULTONDALEAL.GOV,City,Non-Federal Agency,City of Fultondale,Fultondale,AL,dan.dodge@city-tech.com,null,,,,,,,,,,,
GAHANNA.GOV,City,Non-Federal Agency,City of Gahanna,Gahanna,OH,brandon.mccorkle@gahanna.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
GAINESVILLEFL.GOV,City,Non-Federal Agency,City of Gainesville,Gainesville,FL,dudadp@cityofgainesville.org,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
GAINESVILLEGA.GOV,City,Non-Federal Agency,City of Gainesville,Gainesville,GA,it-securityt@gainesville.org,DMARC1,reject,reject,10,r,r,0,mailto:9de5b9c2@forensics.dmarc-report.com,"mailto:9de5b9c2@mxtoolbox.dmarc-report.com,mailto:mail-errors@gainesvillega.gov",afrf,86400,
GAITHERSBURGMD.GOV,City,Non-Federal Agency,City of Gaithersburg,Gaithersburg,MD,itsecurity@gaithersburgmd.gov,DMARC1,none,none,100,r,r,1,mailto:jc2avvgg@fr.dmarcian.com,mailto:jc2avvgg@ag.dmarcian.com,afrf,86400,
GALENAKS.GOV,City,Non-Federal Agency,City of Galena,GALENA,KS,t.roberts@galenaks.gov,null,,,,,,,,,,,
GALENAOHIO.GOV,City,Non-Federal Agency,Village of Galena,Galena,OH,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:ihvo9m4a@ag.us.dmarcian.com,afrf,86400,
GALLAGHERTOWNSHIPPA.GOV,City,Non-Federal Agency,Gallagher Township Authority,Lock Haven,PA,security@kkern.net,null,,,,,,,,,,,
GALLATIN-TN.GOV,City,Non-Federal Agency,City of Gallatin,Gallatin,TN,(blank),null,,,,,,,,,,,
GALLATINTN.GOV,City,Non-Federal Agency,City of Gallatin,Gallatin,TN,(blank),null,,,,,,,,,,,
GALLAWAYTN.GOV,City,Non-Federal Agency,City Of Gallaway,Gallaway,TN,support@worldtechms.com,null,,,,,,,,,,,
GALLUPNM.GOV,City,Non-Federal Agency,City of Gallup,Gallup,NM,subegay@gallupnm.gov,null,,,,,,,,,,,
GALVAIL.GOV,City,Non-Federal Agency,City of Galva,Galva,IL,(blank),null,,,,,,,,,,,
GALVESTONTX.GOV,City,Non-Federal Agency,City of Galveston,Galveston,TX,networksupport@galvestontx.gov,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
GARDENCITY-GA.GOV,City,Non-Federal Agency,City of Garden City,Garden City,GA,(blank),null,,,,,,,,,,,
GARDENCITYAL.GOV,City,Non-Federal Agency,"""Town of Garden City"," Alabama""",Garden City,AL,null,,,,,,,,,,,
GARDINERMAINE.GOV,City,Non-Federal Agency,City of Gardiner,gardiner,ME,(blank),null,,,,,,,,,,,
GARDNER-MA.GOV,City,Non-Federal Agency,City of Gardner,Gardner,MA,rokeefe@gardner-ma.gov,null,,,,,,,,,,,
GARDNERKANSAS.GOV,City,Non-Federal Agency,City of Gardner,Gardner,KS,itservice@gardnerkansas.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
GARIBALDI.GOV,City,Non-Federal Agency,City of Garibaldi,Garibaldi,OR,city@ci.garibaldi.or.us,null,,,,,,,,,,,
GARLANDTX.GOV,City,Non-Federal Agency,City of Garland,Garland,TX,hharper@garlandtx.gov,DMARC1,none,none,100,r,r,0,none,mailto:postmaster@garlandtx.gov,afrf,86400,
GARNERNC.GOV,City,Non-Federal Agency,"""Town of Garner"," NC""",Garner,NC,null,,,,,,,,,,,
GARRETTPARKMD.GOV,City,Non-Federal Agency,Town of Garrett Park,Garrett Park,MD,it_security@garrettparkmd.gov,null,,,,,,,,,,,
GARY.GOV,City,Non-Federal Agency,City of Gary,Gary,IN,lkeith@gary.gov,null,,,,,,,,,,,
GASTONIANC.GOV,City,Non-Federal Agency,"""City of Gastonia"," North Carolina""",Gastonia,NC,spf1,error,error,100,r,r,0,none,none,afrf,86400,
GATLINBURGTN.GOV,City,Non-Federal Agency,City of Gatlinburg,Gatlinburg,TN,(blank),DMARC1,quarantine,quarantine,100,r,r,1,mailto:dmarcrecords@gatlinburgtn.gov,mailto:dmarcrecords@gatlinburgtn.gov,afrf,86400,
GAUTIER-MS.GOV,City,Non-Federal Agency,City of Gautier,Gautier,MS,sfarabee@gautier-ms.gov,DMARC1,quarantine,quarantine,100,r,r,0,mailto:admin@gautier-ms.gov,mailto:admin@gautier-ms.gov,afrf,86400,
GAYGA.GOV,City,Non-Federal Agency,"""Gay"," GA City Hall""",Gay,GA,null,,,,,,,,,,,
GENESEETWPMI.GOV,City,Non-Federal Agency,The Charter Township of Genesee,Genesee,MI,geneseetownship@geneseetwp.com,DMARC1,quarantine,none,100,r,r,1,mailto:dmarcreports@geneseetwpmi.gov,mailto:dmarcreports@geneseetwpmi.gov,afrf,86400,
GENEVAAL.GOV,City,Non-Federal Agency,City of Geneva,Geneva,AL,genevapolice@panhandle.rr.com,null,,,,,,,,,,,
GENEVAOHIO.GOV,City,Non-Federal Agency,City of Geneva,Geneva,OH,admin@genevaohio.gov,DMARC1,quarantine,quarantine,100,s,s,1,mailto:admin@genevaohio.gov,mailto:admin@genevaohio.gov,afrf,86400,
GENTRYARKANSASPD.GOV,City,Non-Federal Agency,City of Gentry Police Department,Gentry,AR,domaininfo@cityofgentry.com,null,,,,,,,,,,,
GEORGETOWN-MI.GOV,City,Non-Federal Agency,Georgetown Charter Township,Jenison,MI,(blank),DMARC1,none,none,100,r,r,0,none,mailto:jstadt@georgetown-mi.gov,afrf,86400,
GEORGETOWNKY.GOV,City,Non-Federal Agency,City of Georgetown,Georgetown,KY,helpdesk@NetGainIT.com,null,,,,,,,,,,,
GEORGETOWNMA.GOV,City,Non-Federal Agency,Town of Georgetown,Georgetown,MA,(blank),null,,,,,,,,,,,
GEORGETOWNOHIO.GOV,City,Non-Federal Agency,Village of Georgetown,Georgetown,OH,robert.freeland@georgetownohio.gov,DMARC1,none,none,100,r,r,1,none,mailto:art.owens@georgetownohio.gov,afrf,86400,
GEORGETOWNSC.GOV,City,Non-Federal Agency,City of Georgetown,Georgetown,SC,security@cogsc.com,null,,,,,,,,,,,
GEORGETOWNTEXAS.GOV,City,Non-Federal Agency,City of Georgetown Texas,Georgetown,TX,rick.barnes@georgetown.org,null,,,,,,,,,,,
GERMANTOWN-TN.GOV,City,Non-Federal Agency,City of Germantown,Germantown,TN,security@germantown-tn.gov,DMARC1,quarantine,quarantine,1,r,r,0,none,mailto:demarc-report@germantown-tn.gov,afrf,86400,
GERMANTOWNPOLICEWI.GOV,City,Non-Federal Agency,Village of Germantown,Germantown,WI,ehirn@germantownwi.gov,DMARC1,none,none,100,r,r,1,none,mailto:dmarcreports@germantownpolicewi.gov,afrf,86400,
GERMANTOWNWI.GOV,City,Non-Federal Agency,Village of Germantown,Germantown,WI,ehirn@germantownwi.gov,DMARC1,none,none,100,r,r,1,none,mailto:dmarcreports@germantownwi.gov,afrf,86400,
GETTYSBURGPA.GOV,City,Non-Federal Agency,Borough of Gettysburg,Gettysburg,PA,support@teamtreysta.com,null,,,,,,,,,,,
